abort 0x3F0046 %S16 #Signed
adc_int_cnt 0x8D80 %U16 #Unsigned
AdcRegs.ADCCTL1.all 0x7100 %U16 #Unsigned
AdcRegs.ADCCTL1.bit.ADCBGPWD 0x7100 %B16 #MASK=0x40
AdcRegs.ADCCTL1.bit.ADCBSY 0x7100 %B16 #MASK=0x2000
AdcRegs.ADCCTL1.bit.ADCBSYCHN 0x7100 %B16 #MASK=0x1F00
AdcRegs.ADCCTL1.bit.ADCENABLE 0x7100 %B16 #MASK=0x4000
AdcRegs.ADCCTL1.bit.ADCPWDN 0x7100 %B16 #MASK=0x80
AdcRegs.ADCCTL1.bit.ADCREFPWD 0x7100 %B16 #MASK=0x20
AdcRegs.ADCCTL1.bit.ADCREFSEL 0x7100 %B16 #MASK=0x8
AdcRegs.ADCCTL1.bit.INTPULSEPOS 0x7100 %B16 #MASK=0x4
AdcRegs.ADCCTL1.bit.RESET 0x7100 %B16 #MASK=0x8000
AdcRegs.ADCCTL1.bit.rsvd1 0x7100 %B16 #MASK=0x10
AdcRegs.ADCCTL1.bit.TEMPCONV 0x7100 %B16 #MASK=0x1
AdcRegs.ADCCTL1.bit.VREFLOCONV 0x7100 %B16 #MASK=0x2
AdcRegs.ADCCTL2.all 0x7101 %U16 #Unsigned
AdcRegs.ADCCTL2.bit.ADCNONOVERLAP 0x7101 %B16 #MASK=0x2
AdcRegs.ADCCTL2.bit.CLKDIV2EN 0x7101 %B16 #MASK=0x1
AdcRegs.ADCCTL2.bit.rsvd1 0x7101 %B16 #MASK=0xFFFC
AdcRegs.ADCINTFLG.all 0x7104 %U16 #Unsigned
AdcRegs.ADCINTFLG.bit.ADCINT1 0x7104 %B16 #MASK=0x1
AdcRegs.ADCINTFLG.bit.ADCINT2 0x7104 %B16 #MASK=0x2
AdcRegs.ADCINTFLG.bit.ADCINT3 0x7104 %B16 #MASK=0x4
AdcRegs.ADCINTFLG.bit.ADCINT4 0x7104 %B16 #MASK=0x8
AdcRegs.ADCINTFLG.bit.ADCINT5 0x7104 %B16 #MASK=0x10
AdcRegs.ADCINTFLG.bit.ADCINT6 0x7104 %B16 #MASK=0x20
AdcRegs.ADCINTFLG.bit.ADCINT7 0x7104 %B16 #MASK=0x40
AdcRegs.ADCINTFLG.bit.ADCINT8 0x7104 %B16 #MASK=0x80
AdcRegs.ADCINTFLG.bit.ADCINT9 0x7104 %B16 #MASK=0x100
AdcRegs.ADCINTFLG.bit.rsvd1 0x7104 %B16 #MASK=0xFE00
AdcRegs.ADCINTFLGCLR.all 0x7105 %U16 #Unsigned
AdcRegs.ADCINTFLGCLR.bit.ADCINT1 0x7105 %B16 #MASK=0x1
AdcRegs.ADCINTFLGCLR.bit.ADCINT2 0x7105 %B16 #MASK=0x2
AdcRegs.ADCINTFLGCLR.bit.ADCINT3 0x7105 %B16 #MASK=0x4
AdcRegs.ADCINTFLGCLR.bit.ADCINT4 0x7105 %B16 #MASK=0x8
AdcRegs.ADCINTFLGCLR.bit.ADCINT5 0x7105 %B16 #MASK=0x10
AdcRegs.ADCINTFLGCLR.bit.ADCINT6 0x7105 %B16 #MASK=0x20
AdcRegs.ADCINTFLGCLR.bit.ADCINT7 0x7105 %B16 #MASK=0x40
AdcRegs.ADCINTFLGCLR.bit.ADCINT8 0x7105 %B16 #MASK=0x80
AdcRegs.ADCINTFLGCLR.bit.ADCINT9 0x7105 %B16 #MASK=0x100
AdcRegs.ADCINTFLGCLR.bit.rsvd1 0x7105 %B16 #MASK=0xFE00
AdcRegs.ADCINTOVF.all 0x7106 %U16 #Unsigned
AdcRegs.ADCINTOVF.bit.ADCINT1 0x7106 %B16 #MASK=0x1
AdcRegs.ADCINTOVF.bit.ADCINT2 0x7106 %B16 #MASK=0x2
AdcRegs.ADCINTOVF.bit.ADCINT3 0x7106 %B16 #MASK=0x4
AdcRegs.ADCINTOVF.bit.ADCINT4 0x7106 %B16 #MASK=0x8
AdcRegs.ADCINTOVF.bit.ADCINT5 0x7106 %B16 #MASK=0x10
AdcRegs.ADCINTOVF.bit.ADCINT6 0x7106 %B16 #MASK=0x20
AdcRegs.ADCINTOVF.bit.ADCINT7 0x7106 %B16 #MASK=0x40
AdcRegs.ADCINTOVF.bit.ADCINT8 0x7106 %B16 #MASK=0x80
AdcRegs.ADCINTOVF.bit.ADCINT9 0x7106 %B16 #MASK=0x100
AdcRegs.ADCINTOVF.bit.rsvd1 0x7106 %B16 #MASK=0xFE00
AdcRegs.ADCINTOVFCLR.all 0x7107 %U16 #Unsigned
AdcRegs.ADCINTOVFCLR.bit.ADCINT1 0x7107 %B16 #MASK=0x1
AdcRegs.ADCINTOVFCLR.bit.ADCINT2 0x7107 %B16 #MASK=0x2
AdcRegs.ADCINTOVFCLR.bit.ADCINT3 0x7107 %B16 #MASK=0x4
AdcRegs.ADCINTOVFCLR.bit.ADCINT4 0x7107 %B16 #MASK=0x8
AdcRegs.ADCINTOVFCLR.bit.ADCINT5 0x7107 %B16 #MASK=0x10
AdcRegs.ADCINTOVFCLR.bit.ADCINT6 0x7107 %B16 #MASK=0x20
AdcRegs.ADCINTOVFCLR.bit.ADCINT7 0x7107 %B16 #MASK=0x40
AdcRegs.ADCINTOVFCLR.bit.ADCINT8 0x7107 %B16 #MASK=0x80
AdcRegs.ADCINTOVFCLR.bit.ADCINT9 0x7107 %B16 #MASK=0x100
AdcRegs.ADCINTOVFCLR.bit.rsvd1 0x7107 %B16 #MASK=0xFE00
AdcRegs.ADCINTSOCSEL1.all 0x7114 %U16 #Unsigned
AdcRegs.ADCINTSOCSEL1.bit.SOC0 0x7114 %B16 #MASK=0x3
AdcRegs.ADCINTSOCSEL1.bit.SOC1 0x7114 %B16 #MASK=0xC
AdcRegs.ADCINTSOCSEL1.bit.SOC2 0x7114 %B16 #MASK=0x30
AdcRegs.ADCINTSOCSEL1.bit.SOC3 0x7114 %B16 #MASK=0xC0
AdcRegs.ADCINTSOCSEL1.bit.SOC4 0x7114 %B16 #MASK=0x300
AdcRegs.ADCINTSOCSEL1.bit.SOC5 0x7114 %B16 #MASK=0xC00
AdcRegs.ADCINTSOCSEL1.bit.SOC6 0x7114 %B16 #MASK=0x3000
AdcRegs.ADCINTSOCSEL1.bit.SOC7 0x7114 %B16 #MASK=0xC000
AdcRegs.ADCINTSOCSEL2.all 0x7115 %U16 #Unsigned
